tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SC1-10a_LP-DIR-T-1	SC1-10a_LP-DIR-T	SC1-10a	1.1	320.4	26.9	0	0	0.0	0.0	0	273.0	This study	hargrave 2021-02-21 13:27:08	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.24-1	5.1500000000000005e-08	5.83e-10	8.01e-10	4.48e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-2	SC1-10a_LP-DIR-T	SC1-10a	1.0	325.6	20.9	0	0	0.0	0.0	1	373.0	This study	hargrave 2021-02-22 14:18:14	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.24-1	4.66e-08	4.46e-10	8.05e-10	4.47e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-3	SC1-10a_LP-DIR-T	SC1-10a	2.1	327.6	14.5	0	0	0.0	0.0	2	473.0	This study	hargrave 2021-02-23 09:05:36	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.24-1	4.22e-08	7.56e-10	1.35e-09	5.58e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-4	SC1-10a_LP-DIR-T	SC1-10a	2.0	336.9	14.0	0	0	0.0	0.0	3	573.0	This study	hargrave 2021-02-23 13:45:27	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.24-1	4.05e-08	5.81e-10	1.12e-09	6.410000000000001e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-5	SC1-10a_LP-DIR-T	SC1-10a	2.5	342.3	14.6	0	0	0.0	0.0	4	673.0	This study	hargrave 2021-02-24 10:27:07	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.24-1	3.93e-08	5.69e-10	1.56e-09	6.33e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-6	SC1-10a_LP-DIR-T	SC1-10a	1.5	347.1	12.4	0	0	0.0	0.0	5	723.0	This study	hargrave 2021-02-24 15:25:13	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.24-1	3.83e-08	3.48e-10	8.12e-10	6.27e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-7	SC1-10a_LP-DIR-T	SC1-10a	3.0	348.1	9.8	0	0	0.0	0.0	6	773.0	This study	hargrave 2021-02-25 12:03:34	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.24-1	3.8e-08	3.81e-10	1.92e-09	6.950000000000001e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-8	SC1-10a_LP-DIR-T	SC1-10a	2.2	350.3	11.2	0	0	0.0	0.0	7	798.0	This study	hargrave 2021-02-25 17:15:34	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.24-1	3.66e-08	3.41e-10	1.3300000000000002e-09	5.87e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-9	SC1-10a_LP-DIR-T	SC1-10a	1.5	359.4	10.1	0	0	0.0	0.0	8	823.0	This study	hargrave 2021-02-26 10:20:34	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.24-1	3.73e-08	4.19e-10	7.37e-10	6.56e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-10	SC1-10a_LP-DIR-T	SC1-10a	2.4	357.0	8.6	0	0	0.0	0.0	9	833.0	This study	hargrave 2021-02-26 15:32:56	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.24-1	3.76e-08	3.34e-10	1.42e-09	6.35e-10	SC1-10	SC1	Keweenaw Peninsula
SC1-10a_LP-DIR-T-11	SC1-10a_LP-DIR-T	SC1-10a	2.7	357.3	9.5	0	0	0.0	0.0	10	843.0	This study	hargrave 2021-02-27 10:53:18	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.24-1	3.67e-08	3.69e-10	1.59e-09	6.3e-10	SC1-10	SC1	Keweenaw Peninsula
